"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10177,0,1,1,1,5,,"1210-1997","TERFEX",,,,"76524","2017",24/07/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10178,0,1,1,1,5,,"2467-1996","TIBEX","69558-C",09/12/1998,"72656-A","73647","1977",07/03/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10179,0,1,1,1,5,,"2402-1996","TIFEN","75089-C",29/09/1999,,"73269","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10180,0,1,1,1,5,,"2403-1996","TINOX",,,,"73270","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10181,0,1,1,1,5,,"2401-1996","TONEKIN","68688-C",09/11/1998,"72638-A","73268","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10182,0,1,1,1,5,,"1540-1990","TOSCALMIN","52021-C",08/10/1991,"59729-A","53391","1694",24/06/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10183,0,1,1,1,5,,"1073-1987","TOTASEDAN","47161-C",29/04/1988,"72665-A","47997","1538",12/02/1988,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10184,0,1,1,1,5,,"0368-1996","TOTAVIT","67476-C",04/09/1998,"72634-A","71832","1960",13/12/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10185,0,1,1,1,5,,"4081-1998","TRICALMA","78108-C",19/04/2000,,"85675","2166",21/10/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10186,0,1,1,1,5,,"1072-1987","TRICALME-666","47160-C",29/04/1988,"53931-A","47996","1538",12/02/1988,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10187,0,1,1,1,5,,"2826-1996","TRICICLOMEX","69025-C",23/11/1998,,"73928","1977",07/03/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10188,0,1,1,1,5,,"0369-1996","ULCEX","101461-C",22/11/2005,,"71833","1960",13/12/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10189,0,1,1,1,5,,"0528-1991","ULFACEL","52246-C",15/11/1991,"59733-A","54138","1704",26/08/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10191,0,1,1,1,5,,"2400-1996","VALAX",,,,"73267","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10192,0,1,1,1,5,,"1835-1996","VALPAX",,,,"72925","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
